item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q327055,worker,person who works
http://www.wikidata.org/entity/Q564612,general counsel,chief lawyer of a legal department
http://www.wikidata.org/entity/Q462390,docent,person who teaches at universities and educational institutions
http://www.wikidata.org/entity/Q497294,lepidopterist,entomologist who specialises in the study of Lepidoptera
http://www.wikidata.org/entity/Q618532,landlord,"owner of a house, apartment, condominium, land or real estate, which is rented or leased to an individual or business, called a tenant, lessee or renter"
http://www.wikidata.org/entity/Q392651,intelligence agent,employee of an intelligence service
http://www.wikidata.org/entity/Q508230,castaway,"person who is cast adrift or ashore, usually in shipwreck"
http://www.wikidata.org/entity/Q548135,coolie,labourer from Asia
http://www.wikidata.org/entity/Q634780,Archiphylax,tax collector in the Lycian League
http://www.wikidata.org/entity/Q637304,pickup artist,"man who practices finding, attracting, and seducing women"
http://www.wikidata.org/entity/Q559597,cabinetmaker,profession; person practicing cabinetry
http://www.wikidata.org/entity/Q512314,socialite,person of prominence in upper class society
http://www.wikidata.org/entity/Q678928,sensei,East Asian title
http://www.wikidata.org/entity/Q356139,proofreader,profession
http://www.wikidata.org/entity/Q389565,ticket controller,craft
http://www.wikidata.org/entity/Q640375,cavalry master,former military rank of a commissioned cavalry officer in some armies
http://www.wikidata.org/entity/Q455595,amateur,"person attached to a particular pursuit, study, or science in a non-professional or unpaid manner"
http://www.wikidata.org/entity/Q486839,member of parliament,representative of the voters to a parliament
http://www.wikidata.org/entity/Q337084,drag queen,person who dresses and acts with exaggerated femininity for performance purposes
http://www.wikidata.org/entity/Q596759,Malgré-nous,men conscripted into the German army against their will
http://www.wikidata.org/entity/Q460797,unofficial collaborator,informant in the German Democratic Republic who delivered private information to the Ministry for State Security
http://www.wikidata.org/entity/Q651566,hygienist,specialist in the promotion of clean conditions for the preservation of health
http://www.wikidata.org/entity/Q806720,Q806720,
http://www.wikidata.org/entity/Q819674,Q819674,
http://www.wikidata.org/entity/Q998550,bookseller,person or other agent selling books
http://www.wikidata.org/entity/Q896438,chief firefighter,senior officer of a firefighting crew
http://www.wikidata.org/entity/Q775318,internaut,"designer, operator, or technically capable user of the Internet"
http://www.wikidata.org/entity/Q811111,construction officer,German civil servant position
http://www.wikidata.org/entity/Q873750,pickpocketing,form of larceny that involves the stealing from off of a victim's body without their notice
http://www.wikidata.org/entity/Q901192,lead guitarist,person playing lead guitar; role in a band or on a recording with more than one guitarist
http://www.wikidata.org/entity/Q911554,business magnate,entrepreneur who has achieved wealth and prominence from a particular industry (or industries)
http://www.wikidata.org/entity/Q930402,witch doctor,practice of “magic” for healing purposes
http://www.wikidata.org/entity/Q1049924,empresario,type of settler in Coahuila y Tejas
http://www.wikidata.org/entity/Q764176,mud engineer,responsible for drilling fluid properties
http://www.wikidata.org/entity/Q838811,peasant,member of a traditional class of farmers
http://www.wikidata.org/entity/Q1072339,chief marketing officer,highest ranking executive-level position focusing on marketing
http://www.wikidata.org/entity/Q725098,burlak,person towing boats (using muscle power)
http://www.wikidata.org/entity/Q740406,beylerbey,"during the Safavid Empire and Ottoman Empire period, the person who was the head of the sanjak beys and ruled the province"
http://www.wikidata.org/entity/Q763779,Protestant reformer,occupation
http://www.wikidata.org/entity/Q881836,reserve officer,
http://www.wikidata.org/entity/Q1104185,coaching,"form of development in which an experienced person, called a coach, supports a learner or client in achieving a specific personal or professional goal by providing training and guidance"
http://www.wikidata.org/entity/Q1078262,database administrator,profession
http://www.wikidata.org/entity/Q787457,garden leave,employment practice
http://www.wikidata.org/entity/Q765778,organist,musician who plays any type of organ
http://www.wikidata.org/entity/Q843281,hobo,migratory worker or homeless vagabond
http://www.wikidata.org/entity/Q736559,secretary of state,"government positions that have ""secretary"" and ""state"" in their title, or equivalents in other languages"
http://www.wikidata.org/entity/Q716345,Judge royal,judicial position in the Kingdom of Hungary
http://www.wikidata.org/entity/Q930701,gamemaster,person who acts as an organizer in role-playing games
http://www.wikidata.org/entity/Q798487,backing vocalist,singer who provides vocal harmony with the lead vocalist or other backing vocalists
http://www.wikidata.org/entity/Q805296,ball boy,"individuals, usually youths, who retrieve and supply balls for players or officials in sports"
http://www.wikidata.org/entity/Q808112,barefoot historian,German term; historian as citizen scientist
http://www.wikidata.org/entity/Q986514,Ring-bearers,group of fictional characters
http://www.wikidata.org/entity/Q1021663,office staff,"Any kind of office staff, including untrained"
http://www.wikidata.org/entity/Q898031,space pirate,someone who commits space piracy
http://www.wikidata.org/entity/Q1113899,clinical psychologist,occupation
http://www.wikidata.org/entity/Q987168,mendicant,one who practices mendicancy and relies chiefly or exclusively on alms to survive
http://www.wikidata.org/entity/Q956365,Liedermacher,singer-songwriter in German culture
http://www.wikidata.org/entity/Q855091,guitarist,musician who plays the guitar
http://www.wikidata.org/entity/Q1095026,lizhang,position
http://www.wikidata.org/entity/Q877944,lay judge,judge who has no legal training
http://www.wikidata.org/entity/Q1089730,gigolo,male escort or social companion
http://www.wikidata.org/entity/Q1099405,cleaner,person who carries out assignments or solves problems for others
http://www.wikidata.org/entity/Q882951,Luftwaffenhelfer,auxiliary staff of the German Luftwaffe
http://www.wikidata.org/entity/Q936969,nanny,person employed to take care of employer's children in the employer's home
http://www.wikidata.org/entity/Q758780,gardener,person who tends gardens
http://www.wikidata.org/entity/Q1125062,rebel,member of a rebellion
http://www.wikidata.org/entity/Q1020480,Q1020480,Historical class of small landowners in northern Germany
http://www.wikidata.org/entity/Q1028181,painter,artist who practices painting
http://www.wikidata.org/entity/Q728711,Playboy Playmate,female model featured in a centerfold of Playboy magazine
http://www.wikidata.org/entity/Q1114448,cartoonist,visual artist who makes cartoons
http://www.wikidata.org/entity/Q745570,unlawful combatant,person who directly engages in armed conflict in violation of the laws of war
http://www.wikidata.org/entity/Q850220,buccaneer,privateers or free sailors during the 17th and 18th centuries
http://www.wikidata.org/entity/Q806798,banker,person who manages or owns a bank
http://www.wikidata.org/entity/Q915830,supercargo,person employed on board a vessel by the owner of cargo carried on the ship
http://www.wikidata.org/entity/Q931260,murderer,perpetrator of a murder
http://www.wikidata.org/entity/Q778274,angel investor,"affluent individual who provides capital for a business start-up, usually in exchange for convertible debt or ownership equity"
http://www.wikidata.org/entity/Q779458,ascetic,person who practices asceticism
http://www.wikidata.org/entity/Q1114478,postulat,person who makes a request or demand
http://www.wikidata.org/entity/Q1027930,webcam model,video performer who is streamed upon the Internet with a live webcam broadcast
http://www.wikidata.org/entity/Q978061,forest owner,public legal owner or private forest owners
http://www.wikidata.org/entity/Q875592,Japanese studies,area studies focused on Japan
