item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q2643659,Indian agent,individual authorized to interact with Native Americans tribes on behalf of the U.S. government
http://www.wikidata.org/entity/Q3303297,ironmaster,manager/owner of a forge or blast furnace
http://www.wikidata.org/entity/Q3243461,collector,person whose occupation or hobby is collecting things
http://www.wikidata.org/entity/Q3289646,animal control service,entity charged with responding to requests for help with wild animals
http://www.wikidata.org/entity/Q2798820,security hacker,someone who explores methods for breaching defenses and exploiting weaknesses in a computer system or network; mainly practiced by younger computer enthusiasts out of personal interest
http://www.wikidata.org/entity/Q2671576,Bakshy,traditional Turkmen and Khorasani musicians
http://www.wikidata.org/entity/Q3285164,R&D management,discipline
http://www.wikidata.org/entity/Q2750844,catfisher,someone who partakes in deceptive practice of catfishing
http://www.wikidata.org/entity/Q2961975,business executive,"person responsible for running a business, or an aspect of it"
http://www.wikidata.org/entity/Q2917466,psychic,person who claims to use extrasensory perception to identify information hidden from the normal senses
http://www.wikidata.org/entity/Q3079361,peace makers,individuals who engage in peacemaking
http://www.wikidata.org/entity/Q2962033,publicity director,person charged with directing publicity campaigns
http://www.wikidata.org/entity/Q3015326,independent scientist,financially independent scientist who pursues scientific study without direct affiliation to a public institution
http://www.wikidata.org/entity/Q3327932,Munitionette,female munitions worker
http://www.wikidata.org/entity/Q3135342,higgler,small-scale itinerant seller of goods
http://www.wikidata.org/entity/Q2893972,beguine,Christian religious role for women in Western Europe in the 13th–16th centuries
http://www.wikidata.org/entity/Q3327243,machi,spiritual leader and healer in Mapuche culture
http://www.wikidata.org/entity/Q3199652,Kreisleiter,Nazi Party political rank
http://www.wikidata.org/entity/Q2600526,yoga instructor,occupation
http://www.wikidata.org/entity/Q4105860,lead programmer,role providing technical guidance and mentorship to a team of software developers
http://www.wikidata.org/entity/Q3519095,Q3519095,
http://www.wikidata.org/entity/Q3531054,Q3531054,
http://www.wikidata.org/entity/Q3860577,Q3860577,
http://www.wikidata.org/entity/Q4009363,Q4009363,
http://www.wikidata.org/entity/Q3478187,saddler,
http://www.wikidata.org/entity/Q4165915,Q4165915,
http://www.wikidata.org/entity/Q3814026,kaumātua,elder from tribal groups of the Maori people
http://www.wikidata.org/entity/Q4664943,thug,"common criminal, who treats others violently and roughly, often for hire"
http://www.wikidata.org/entity/Q3684641,Commesso,clerk of a business corporation in Italian law
http://www.wikidata.org/entity/Q3579035,travel writer,person who writes travel literature
http://www.wikidata.org/entity/Q3409374,Ancient Roman priest,
http://www.wikidata.org/entity/Q3389507,pizzaiolo,person responsible for preparing and cooking pizzas
http://www.wikidata.org/entity/Q4145633,city head,position
http://www.wikidata.org/entity/Q3578589,environmentalist,someone who supports the goals of the environmental movement
http://www.wikidata.org/entity/Q4854747,bandurist,musician who plays the bandura
http://www.wikidata.org/entity/Q4840835,badger,occupation
http://www.wikidata.org/entity/Q3553251,tramp,
http://www.wikidata.org/entity/Q3589292,women letter writer,
http://www.wikidata.org/entity/Q4854472,bandboy,
http://www.wikidata.org/entity/Q3430775,political boss,"person who controls a unit of a political party, although they might not hold political office"
http://www.wikidata.org/entity/Q4249929,köçek,cross-dressed male dancer in the traditional Turkish culture
http://www.wikidata.org/entity/Q3490626,Bombard player,a musician who plays the bombard
http://www.wikidata.org/entity/Q3516827,sales technician,profession
http://www.wikidata.org/entity/Q3892689,handball sports player,
http://www.wikidata.org/entity/Q3434088,road manager,someone who works with musical bands and makes sure that all the details of tours are organized and on schedule
http://www.wikidata.org/entity/Q4819891,audio typist,
http://www.wikidata.org/entity/Q3621491,archaeologist,person studying human activity in the past
http://www.wikidata.org/entity/Q4667873,prisoner of conscience,"anyone imprisoned for their demographics, beliefs, or the nonviolent expression thereof"
http://www.wikidata.org/entity/Q4688014,aerial observer,functional position of gathering information visually from an airborne platform
http://www.wikidata.org/entity/Q3630960,avanguardista,
http://www.wikidata.org/entity/Q3560496,fiddler,musician who plays folkloristic music on a fiddle or violin
http://www.wikidata.org/entity/Q4809091,assistive technology service provider,
http://www.wikidata.org/entity/Q4887411,benefactor,"person who gives some form of help to benefit a person, group or organization (the beneficiary)"
http://www.wikidata.org/entity/Q4131678,hazzan,superior of the Karaim community
http://www.wikidata.org/entity/Q3640160,marine biologist,scientist specialising in marine biology
http://www.wikidata.org/entity/Q3501317,fashion designer,one who designs clothing and related items
http://www.wikidata.org/entity/Q4070283,gunneur,person who operates artillery
http://www.wikidata.org/entity/Q3796928,government employee,employee who works for a state
http://www.wikidata.org/entity/Q3774421,Subaşi,
http://www.wikidata.org/entity/Q3501487,Q3501487,Office occupation
http://www.wikidata.org/entity/Q4412544,Q4412544,"specialist in the indigenous small-numbered peoples of the North, Siberia and the Far East"
http://www.wikidata.org/entity/Q3564543,Garibaldino,voluntary soldier who has played in the numerous formations set up and led by Giuseppe Garibaldi
http://www.wikidata.org/entity/Q4270517,skier,person who performs skiing
http://www.wikidata.org/entity/Q4841568,airport baggage handler,person who receives and returns the luggage of passengers at airport terminals
http://www.wikidata.org/entity/Q3364971,Steward of the Realm,
http://www.wikidata.org/entity/Q4207313,sexual predator,
http://www.wikidata.org/entity/Q3895351,Franelero,service industry worker; person working with valet parking
http://www.wikidata.org/entity/Q3825427,fire lookout,person responsible for spotting fires from a fire lookout tower
http://www.wikidata.org/entity/Q4696968,aikidoka,"practicioner of aikido, a martial art"
http://www.wikidata.org/entity/Q4122737,Vogt,title of overlordship or nobility in the Holy Roman Empire
http://www.wikidata.org/entity/Q4159860,jangartchi,
http://www.wikidata.org/entity/Q4293151,microentrepreneur,
http://www.wikidata.org/entity/Q4443435,stratonaut,
http://www.wikidata.org/entity/Q4439148,intern,occupation
http://www.wikidata.org/entity/Q3453588,Prince Amadeiro,Fictional character at carnaval
http://www.wikidata.org/entity/Q4964182,philosopher,person with an extensive knowledge of philosophy
http://www.wikidata.org/entity/Q4178004,publicist,"person who manages publicity for a public figure, a business or a work"
http://www.wikidata.org/entity/Q4351403,percussionist,musician who plays percussion
http://www.wikidata.org/entity/Q3519237,teufeur,
http://www.wikidata.org/entity/Q3647577,business developer,occupation
http://www.wikidata.org/entity/Q4197743,player,person who plays a game
http://www.wikidata.org/entity/Q3603995,philomath,lover of learning
http://www.wikidata.org/entity/Q4353426,money mule,person who transfers money acquired illegally on behalf of others
http://www.wikidata.org/entity/Q4479442,organizational founder,person who creates an institution intended to perpetuate itself after the founder's association ends
http://www.wikidata.org/entity/Q4841994,bagman,"person designated to collect dirty money, e.g. in a protection racket, or run errands"
http://www.wikidata.org/entity/Q3813950,katib,Arab scribe
http://www.wikidata.org/entity/Q3408848,lay preacher,preacher who is not a member of the clergy
http://www.wikidata.org/entity/Q4880041,beer wench,wench
http://www.wikidata.org/entity/Q4947495,crime boss,person in charge of a criminal organization
http://www.wikidata.org/entity/Q3824194,harasser,person who bullies or harasses
http://www.wikidata.org/entity/Q4672747,account executive,person in a services company responsible for its day-to-day relationship with a particular commercial client or prospective client
http://www.wikidata.org/entity/Q3954105,security manager,"profession; person who directs an organization's security functions, including physical security and safety of employees and facilities"
http://www.wikidata.org/entity/Q3378585,military pharmacy,discipline of pharmacy
http://www.wikidata.org/entity/Q4676869,acting instructor,person who teaches acting
http://www.wikidata.org/entity/Q3922927,tour promoter,individuals or companies responsible for organizing a live concert tour or special event performance
http://www.wikidata.org/entity/Q4175034,legislator,member of a legislature
http://www.wikidata.org/entity/Q3660655,Commissioner of Crown Lands,government official administering government land in the various Australian colonies.
http://www.wikidata.org/entity/Q4204239,research participant,person who participates in human subject research by being the target of observation by researchers
http://www.wikidata.org/entity/Q3470892,sannyasi,Hindu ascetic monk
http://www.wikidata.org/entity/Q3920978,diplomatic courier,government officials that carry diplomatic bags
http://www.wikidata.org/entity/Q3577650,eco-warrior,environmental activist
http://www.wikidata.org/entity/Q4191036,zemleprokhodtsy,"pioneering migrants to Siberia, lit. ""crossers of land"""
http://www.wikidata.org/entity/Q3632935,yogini,female practitioner of yoga
http://www.wikidata.org/entity/Q4373046,pornography industry,industry producing pornographic films and other pornographic media
http://www.wikidata.org/entity/Q4469127,hijacker,person who commits hijacking
http://www.wikidata.org/entity/Q3562775,thief,person who carries out thefts
http://www.wikidata.org/entity/Q3368517,public prosecutor general,public office
http://www.wikidata.org/entity/Q3595924,Qari,person who recites the Qur'an with the proper rules of recitation
http://www.wikidata.org/entity/Q3746116,whistler,musician who whistles
http://www.wikidata.org/entity/Q3506253,scrutineer,person who observes any process which requires oversight such as voting processes
http://www.wikidata.org/entity/Q4849644,bal maiden,"female manual laborer in the mining industries of Cornwall and Devon, United Kingdom"
http://www.wikidata.org/entity/Q4972949,Broder singer,"Jewish itinerant performers in Austrian Galicia, Romania, and Russia, professional or semiprofessional songwriters and performers"
http://www.wikidata.org/entity/Q3366101,business partner,commercial partner
http://www.wikidata.org/entity/Q5003365,buyer,individual who selects what items are stocked
http://www.wikidata.org/entity/Q4956562,brand ambassador,Person employed by an organization or company to represent a brand in a positive light
http://www.wikidata.org/entity/Q4379701,professional gamer,occupation
http://www.wikidata.org/entity/Q3476620,video game writer,creator of the plot of a video game
http://www.wikidata.org/entity/Q3481465,surfboard shaper,someone who builds and designs surfboards by hand
http://www.wikidata.org/entity/Q3528729,timpanist,percussionist who plays the timpani
http://www.wikidata.org/entity/Q5533758,gentlewoman,woman of a noble family or with high social position
http://www.wikidata.org/entity/Q5368998,Emancipist,Australian transported convict who has been pardoned
http://www.wikidata.org/entity/Q5196476,customer service representative,"agent responsible for handling complaints, processing orders, and communicating services"
http://www.wikidata.org/entity/Q6735310,maid of honour,"junior attendants of a queen in royal households, junior to the lady-in-waiting"
http://www.wikidata.org/entity/Q5421176,experimentalist,person who carries out experiments
http://www.wikidata.org/entity/Q5749253,Q5749253,
http://www.wikidata.org/entity/Q5758256,Q5758256,
http://www.wikidata.org/entity/Q5307556,drill instructor,military training officer
http://www.wikidata.org/entity/Q5308931,drug user,consumer of illicit psychoactive substances
http://www.wikidata.org/entity/Q6025508,Q6025508,
http://www.wikidata.org/entity/Q6087445,Q6087445,
http://www.wikidata.org/entity/Q6663601,Q6663601,
http://www.wikidata.org/entity/Q6441165,Kuban bandurists,
http://www.wikidata.org/entity/Q5363158,genga,animation occupation
http://www.wikidata.org/entity/Q6136036,survivor,one who survives short-term or ongoing traumatic event
http://www.wikidata.org/entity/Q6647245,matriarch,"female leader of a family, a tribe or an ethnic or religious group"
http://www.wikidata.org/entity/Q5280390,direct support professional,specialist in education of the mentally disabled
http://www.wikidata.org/entity/Q5633897,tourist,"people who are traveling and staying away from home, for  pleasure"
http://www.wikidata.org/entity/Q5589427,government scientist,scientist employed by a country or other jurisdiction's government
http://www.wikidata.org/entity/Q5608073,Grey-collar,employed people not classified as white- or blue collar
http://www.wikidata.org/entity/Q5123545,city editor,section editor of a newspaper
http://www.wikidata.org/entity/Q6501749,general secretary,leader or chief officer of an organisation
http://www.wikidata.org/entity/Q5224168,Daroga,
http://www.wikidata.org/entity/Q5434338,fantasy author,
http://www.wikidata.org/entity/Q5574141,automotive mechanic,
http://www.wikidata.org/entity/Q6048071,fillng station attendant,worker at a full-service filling station who performs services other than accepting payment
http://www.wikidata.org/entity/Q5947973,seminary student,student at a seminary
http://www.wikidata.org/entity/Q5276395,gamer,person who plays video games and/or identifies with the gamer identity
http://www.wikidata.org/entity/Q6073032,iron puddler,occupation
http://www.wikidata.org/entity/Q6164118,black widow,type of serial killer
http://www.wikidata.org/entity/Q6028169,industry analyst,performs primary and secondary market research within an industry
http://www.wikidata.org/entity/Q5532385,general sales agent,
http://www.wikidata.org/entity/Q5421729,expressman,"anyone who has the duty of packing, managing, and ensuring the delivery of any cargo"
http://www.wikidata.org/entity/Q5462245,flower seller,trade or occupation
http://www.wikidata.org/entity/Q5451651,fire safety inspector,law enforcement officer
http://www.wikidata.org/entity/Q5110129,Christian Science practitioner,individual who prays for others
http://www.wikidata.org/entity/Q5175753,cotton factor,fiduciary broker used by cotton planters
http://www.wikidata.org/entity/Q5784340,consort,spouse of a ruler
http://www.wikidata.org/entity/Q5097822,Child and Youth Worker,
http://www.wikidata.org/entity/Q5941265,civil servant in Spain,
http://www.wikidata.org/entity/Q6375068,Katalonan,
http://www.wikidata.org/entity/Q6517489,legal document assistant,non-lawyer who helps prepare legal documents
http://www.wikidata.org/entity/Q5405633,research assistant,"person employed by a university, a research institute or a privately held organization, for the purpose of assisting in academic or private research"
http://www.wikidata.org/entity/Q5468328,Foreign Service officer,member of the United States Foreign Service
http://www.wikidata.org/entity/Q5027838,campaign manager,occupation
http://www.wikidata.org/entity/Q6102247,film or television director,occupation
http://www.wikidata.org/entity/Q5372393,co-minister,assistant priest in a Scandinavian parish
http://www.wikidata.org/entity/Q5659846,Agente de Medio Ambiente de la Junta de Andalucía,
http://www.wikidata.org/entity/Q5157562,computer operator,"person who oversees the running of computer systems, ensuring that the machines and computers are running properly"
http://www.wikidata.org/entity/Q6094737,itinerant teacher,traveling school teacher
http://www.wikidata.org/entity/Q6491450,intendant,public official in non-English-speaking countries
http://www.wikidata.org/entity/Q6081763,hospital volunteer,volunteers in hospitals who work without pay
http://www.wikidata.org/entity/Q5691217,press ombudsman,
http://www.wikidata.org/entity/Q5780518,communicator,occupation
http://www.wikidata.org/entity/Q6168364,jazz guitarist,guitarist who plays jazz
http://www.wikidata.org/entity/Q6624723,quiz show question writer,
http://www.wikidata.org/entity/Q6147194,dyer,occupation where a person is involved in dyeing
http://www.wikidata.org/entity/Q5118104,church usher,
http://www.wikidata.org/entity/Q6019537,Ramadan drummer,
http://www.wikidata.org/entity/Q5637247,hacker,"person who modifies software or hardware of technical equipment, mainly their own private computer system, out of personal interest"
http://www.wikidata.org/entity/Q5719186,local expert,person with an intimate knowledge of a region
http://www.wikidata.org/entity/Q6505435,royalist,person who supports a monarchy
http://www.wikidata.org/entity/Q6772302,Sheikh al-Hadith,an honorific title for outstanding scholars of the Hadiths
http://www.wikidata.org/entity/Q5819949,social educator,person whose profession is social education
http://www.wikidata.org/entity/Q5096974,chief content officer,executive responsible for content in broadcasting
http://www.wikidata.org/entity/Q5398490,hotel receptionist,
http://www.wikidata.org/entity/Q5716684,dancer,person who dances
http://www.wikidata.org/entity/Q5251470,defensive coordinator,member of the coaching staff of a gridiron football team who is in charge of the defense
http://www.wikidata.org/entity/Q6080501,opinion leader,active media user who leads the public opinion
http://www.wikidata.org/entity/Q5358395,electronic musician,musician who makes electronic music
http://www.wikidata.org/entity/Q6138343,wood carver,wood worker who carves
http://www.wikidata.org/entity/Q6313834,junk man,"person who buys, trades, or collects disparate items"
http://www.wikidata.org/entity/Q5024685,calypsonian,singer of calypso
http://www.wikidata.org/entity/Q6606110,industrialist,owner or operator of a factory or manufacturing business
http://www.wikidata.org/entity/Q6505433,lay theologian,writer on theology without theological training
http://www.wikidata.org/entity/Q6665249,judoka,sportsperson taking part in judo competitions
http://www.wikidata.org/entity/Q5137366,cnidariologist,zoologist specializing in Cnidaria
http://www.wikidata.org/entity/Q5287521,Doctor of Osteopathic Medicine,professional degree
http://www.wikidata.org/entity/Q6505424,lay ministry,Christian minister who hasn't gone through formal training or ordination
http://www.wikidata.org/entity/Q6554404,pipe and tabor player,pipe and tabor player; type of musician in Provence
http://www.wikidata.org/entity/Q5371902,harpsichordist,person who plays the harpsichord
http://www.wikidata.org/entity/Q5371955,li,low-level bureaucrat in Chinese history
http://www.wikidata.org/entity/Q5405831,eucharistic minister,individual who assists in the distribution of Holy Communion in a Christian church
http://www.wikidata.org/entity/Q6731168,magistrate,legal office held by lay people in England and Wales
http://www.wikidata.org/entity/Q5442473,fellmonger,persons who removes animal hair or deals in hides or skins
http://www.wikidata.org/entity/Q5261019,Deputy Clerk of the Closet,the Domestic Chaplain to the Sovereign of the United Kingdom
http://www.wikidata.org/entity/Q5659979,sex offender,criminal offender
http://www.wikidata.org/entity/Q5998388,sorcerer,practitioner of sorcery
http://www.wikidata.org/entity/Q5096712,chief digital officer,highest ranking officer responsible for digitization
http://www.wikidata.org/entity/Q5288284,dog show judge,occupation
http://www.wikidata.org/entity/Q5747523,Q5747523,street newspaper selling occupation
http://www.wikidata.org/entity/Q6132267,sonidero,Mexican mobile soundsystem
http://www.wikidata.org/entity/Q5466536,footpad,pedestrian robber
http://www.wikidata.org/entity/Q5493340,car driving,the act of driving a car
http://www.wikidata.org/entity/Q5945789,victimiser,person who causes damage to a victim
http://www.wikidata.org/entity/Q6505432,Lay speaker,position in the United Methodist Church for the laity
http://www.wikidata.org/entity/Q5152879,commissioning editor,buyer for publishing company selecting materials to publish
http://www.wikidata.org/entity/Q6455328,Kōya Hijiri,caste of Japanese monks
http://www.wikidata.org/entity/Q5393998,merenguero,sweets merchant; Mexican term for a person selling meringue
http://www.wikidata.org/entity/Q5171647,cornerman,coach in fighting sports
http://www.wikidata.org/entity/Q7140693,partner,rank in a business
http://www.wikidata.org/entity/Q7450649,senior advisor,title in political or economic field
http://www.wikidata.org/entity/Q9212445,scoutmaster,leader of a scout unit
http://www.wikidata.org/entity/Q7623053,street protester,person partaking in a public protest against a cause of concern
http://www.wikidata.org/entity/Q7691196,teacher-librarian,dual-qualified teacher and librarian
http://www.wikidata.org/entity/Q7187777,photographic assistant,
http://www.wikidata.org/entity/Q9206881,Q9206881,
http://www.wikidata.org/entity/Q9280998,Q9280998,
http://www.wikidata.org/entity/Q9292301,Q9292301,
http://www.wikidata.org/entity/Q7886765,union organizer,specific type of trade union member (often elected) or an appointed union official
http://www.wikidata.org/entity/Q7254445,pseudo-model,young model without training and without the physical qualities required of high-fashion catwalk models
http://www.wikidata.org/entity/Q7695510,tektōn,common ancient Greek term for an artisan/craftsman
http://www.wikidata.org/entity/Q9017214,karateka,practitioner of karate
http://www.wikidata.org/entity/Q7378323,rugby league match official,
http://www.wikidata.org/entity/Q10080014,tax protester,someone who refuses to pay a tax claiming that the tax laws are unconstitutional or otherwise invalid
http://www.wikidata.org/entity/Q7994861,White House Chief Calligrapher,"individual responsible for the design and execution of all social and official documents at the White House, the official residence and principal workplace of the president of the United States."
http://www.wikidata.org/entity/Q8380347,AV actor,male actor who performs sex acts in adult videos
http://www.wikidata.org/entity/Q7494998,sheriff principal,"judge in charge of a Scottish sheriffdom with judicial, quasi-judicial, and administrative responsibilities"
http://www.wikidata.org/entity/Q7131406,pannist,person who plays a steelpan
http://www.wikidata.org/entity/Q9031604,mercander,type of merchant
http://www.wikidata.org/entity/Q8558984,Category:Italian psychologists,Wikimedia category
http://www.wikidata.org/entity/Q7316100,restaurant management,the profession of managing a restaurant
http://www.wikidata.org/entity/Q7242372,prevention of HIV/AIDS,prevent and minimize the occurrence of HIV and AIDS
http://www.wikidata.org/entity/Q7256276,psychic detective,person who investigates crimes by using purported psychic abilities
http://www.wikidata.org/entity/Q7821093,Tongji,Chinese folk religious practitioner
http://www.wikidata.org/entity/Q10290445,gold digger,greedy person who only dates wealthy partners with the intention of exploiting said wealth
http://www.wikidata.org/entity/Q6941738,music editor,sound editor in film or other multimedia productions
http://www.wikidata.org/entity/Q7433809,scientific journalism,
http://www.wikidata.org/entity/Q7617885,stock contractor,
http://www.wikidata.org/entity/Q7070221,nursemaid,female servant employed in the field of the care of children
http://www.wikidata.org/entity/Q7245795,prison visitor,person who visits prisons to befriend and monitor the welfare of prisoners in general (not a person who visits a specific prisoner to whom they have a prior connection)
http://www.wikidata.org/entity/Q7135769,paraprofessional educator,teaching-related position within a school
http://www.wikidata.org/entity/Q7432361,school governor,overseers of a school
http://www.wikidata.org/entity/Q7235593,Poultry,office in a medieval household
http://www.wikidata.org/entity/Q6806267,Medical Assistant,Royal Navy medical rating in the United Kingdom
http://www.wikidata.org/entity/Q7696209,telegram messenger,
http://www.wikidata.org/entity/Q6806392,Medical Officer for Health,title commonly used for the senior government official of a health department or agency
http://www.wikidata.org/entity/Q7691294,teaching assistant,in the United Kingdom
http://www.wikidata.org/entity/Q6949059,Feqe,Kurdish name for a student of the madrasa
http://www.wikidata.org/entity/Q7595754,stable master,manager in charge of a stable
http://www.wikidata.org/entity/Q6931842,Mudlark,someone who scavenges in river mud for items of value
http://www.wikidata.org/entity/Q7306274,amil of zakat,person or entities who collect zakat
http://www.wikidata.org/entity/Q9340211,speculator,
http://www.wikidata.org/entity/Q7969127,warden,head of some university colleges
http://www.wikidata.org/entity/Q6950556,Müneccimbaşı,astrologer of the Ottoman Empire
http://www.wikidata.org/entity/Q7111941,outdoor enthusiast,person who enjoys outdoor recreation
http://www.wikidata.org/entity/Q7990679,Wharfinger,archaic term for a person who is the keeper or owner of a wharf
http://www.wikidata.org/entity/Q7501153,shopkeeper,individual who owns or manages a shop
http://www.wikidata.org/entity/Q7234072,postal worker,person who works for a post office
http://www.wikidata.org/entity/Q7259489,Pullman porter,type of porter on sleeping cars on US railroads
http://www.wikidata.org/entity/Q7939609,voice teacher,musical instructor
http://www.wikidata.org/entity/Q7140620,partisan,"committed member of a political ideology, party. or faction"
http://www.wikidata.org/entity/Q7313543,rentier,"person whose income derives from rents, interest on investments, and other passive returns"
http://www.wikidata.org/entity/Q6826309,Q6826309,occupation
http://www.wikidata.org/entity/Q7224348,Molfar,Ukrainian magicians
http://www.wikidata.org/entity/Q6806553,medical intuitive,an alternative medicine practitioner who uses solely intuition to diagnose physical or emotional conditions
http://www.wikidata.org/entity/Q7371595,route setter,designer of artificial rock climbing wall routes or problems
http://www.wikidata.org/entity/Q7574785,special adviser,politically appointed adviser to a UK government body
http://www.wikidata.org/entity/Q7658473,swineherd,"person who tends, feeds, or guards herds of pigs"
http://www.wikidata.org/entity/Q9149093,mountaineer,person who climbs mountains
http://www.wikidata.org/entity/Q6935058,multireedist,musician capable of performing on more than one reed instrument
http://www.wikidata.org/entity/Q6957294,Nacnī,female performers who sing and dance professionally in rural areas
http://www.wikidata.org/entity/Q9334029,satirist,author of satirical texts
http://www.wikidata.org/entity/Q7887861,gaikokujin tarento,
http://www.wikidata.org/entity/Q8011724,fortune teller,occupation
http://www.wikidata.org/entity/Q7097633,ashik,"folk poet, singer and saz player in the South Caucasus and Anatolia"
http://www.wikidata.org/entity/Q7697585,teller,"person who counts the votes in an election, vote, referendum or poll"
http://www.wikidata.org/entity/Q7513077,signwriting,craft
http://www.wikidata.org/entity/Q9284559,gofer,employee who specializes in delivery of special items to their superior(s)
http://www.wikidata.org/entity/Q7582205,squeegee punk,occupation
http://www.wikidata.org/entity/Q8033744,wool-stapler,a dealer in wool
http://www.wikidata.org/entity/Q7370910,roughneck,term used as reference for blue-collar workers specially in the oil industry
http://www.wikidata.org/entity/Q7019111,social worker,person who performs social work
http://www.wikidata.org/entity/Q8359428,social activist,activist focused on social issues
http://www.wikidata.org/entity/Q7499869,shock jock,type of radio broadcaster
http://www.wikidata.org/entity/Q8564071,fluffer,London Underground tunnel track cleaner
http://www.wikidata.org/entity/Q7549941,sober companion,occupation in addiction recovery
http://www.wikidata.org/entity/Q9361551,trichopterist,person who is specialized in trichopterology
http://www.wikidata.org/entity/Q7627813,student athlete,sports competitor who is also in full-time education
http://www.wikidata.org/entity/Q6885897,mnemonist,individual with the ability to remember and recall unusually long lists of data
http://www.wikidata.org/entity/Q7978831,website content writer,profession
http://www.wikidata.org/entity/Q6857698,military mascot,animals kept by the armed forces for ceremonial purposes
http://www.wikidata.org/entity/Q7245082,principal investigator,person(s) in charge of conducting a research project
http://www.wikidata.org/entity/Q6878885,Missionary Bishop,type of an Bishop
http://www.wikidata.org/entity/Q9394993,ice skater,one who skates on ice
http://www.wikidata.org/entity/Q7070203,nurse educator,nurse who teaches nursing
http://www.wikidata.org/entity/Q7883466,underboss,second in command in Mafia crime families
http://www.wikidata.org/entity/Q7127679,pallbearer,person who carries a casket at a funeral
http://www.wikidata.org/entity/Q7101782,organ scholar,subclass of an organist
http://www.wikidata.org/entity/Q7314088,reply girl,female YouTube user who uploads video responses to popular YouTube videos
http://www.wikidata.org/entity/Q7199710,pixel artist,artist who works in the raster graphics on the pixel level
http://www.wikidata.org/entity/Q9180224,brewer,"a person associated with the brewing industry, not necessarily actively involved in brewing beer"
http://www.wikidata.org/entity/Q9008257,arsonist,person committing arson
http://www.wikidata.org/entity/Q10264925,demagogue,political orator who panders to the audience's fears and emotions
http://www.wikidata.org/entity/Q7439219,script coordinator,role in film and television production
http://www.wikidata.org/entity/Q7380527,rural letter carrier,letter carriers in rural areas
http://www.wikidata.org/entity/Q9379965,metal spinner,artisan who performs metal spinning manually
http://www.wikidata.org/entity/Q9307508,research respondent,participant in surveys or other research
http://www.wikidata.org/entity/Q7557218,Soldato,rank in Mafia hierarchy
http://www.wikidata.org/entity/Q7180824,pharmacy practice,discipline of pharmacy as science
http://www.wikidata.org/entity/Q10428551,Q10428551,
http://www.wikidata.org/entity/Q10430156,Q10430156,
http://www.wikidata.org/entity/Q10434018,Q10434018,
http://www.wikidata.org/entity/Q10438272,Q10438272,
http://www.wikidata.org/entity/Q10496096,Q10496096,
http://www.wikidata.org/entity/Q10501388,Q10501388,
http://www.wikidata.org/entity/Q10501447,Q10501447,
http://www.wikidata.org/entity/Q10511397,Q10511397,
http://www.wikidata.org/entity/Q10542529,Q10542529,
http://www.wikidata.org/entity/Q10543170,Q10543170,
http://www.wikidata.org/entity/Q10549613,Q10549613,
http://www.wikidata.org/entity/Q10553872,Q10553872,
http://www.wikidata.org/entity/Q10553982,Q10553982,
http://www.wikidata.org/entity/Q10554132,Q10554132,
http://www.wikidata.org/entity/Q10554232,Q10554232,
http://www.wikidata.org/entity/Q10554537,Q10554537,
http://www.wikidata.org/entity/Q10581214,Q10581214,
http://www.wikidata.org/entity/Q10590682,Q10590682,
http://www.wikidata.org/entity/Q10605056,Q10605056,
http://www.wikidata.org/entity/Q10624795,Q10624795,
http://www.wikidata.org/entity/Q10636125,Q10636125,
http://www.wikidata.org/entity/Q10647775,Q10647775,
http://www.wikidata.org/entity/Q10672548,Q10672548,
http://www.wikidata.org/entity/Q10672977,Q10672977,
http://www.wikidata.org/entity/Q10677136,Q10677136,
http://www.wikidata.org/entity/Q10677161,Q10677161,
http://www.wikidata.org/entity/Q10677201,Q10677201,
http://www.wikidata.org/entity/Q10710190,Q10710190,
http://www.wikidata.org/entity/Q10717195,Q10717195,
http://www.wikidata.org/entity/Q10718652,Q10718652,
http://www.wikidata.org/entity/Q10723881,Q10723881,
http://www.wikidata.org/entity/Q10728646,Q10728646,
http://www.wikidata.org/entity/Q10385892,help desk,
http://www.wikidata.org/entity/Q11217731,Q11217731,
http://www.wikidata.org/entity/Q10328995,master,
http://www.wikidata.org/entity/Q10499604,Salvation Army officer,
http://www.wikidata.org/entity/Q10631611,maid,female working in her employer's household or agriculture
http://www.wikidata.org/entity/Q10607873,Public counsil,
http://www.wikidata.org/entity/Q10636149,auxilliary policewoman,
http://www.wikidata.org/entity/Q10856232,nyōbō,
http://www.wikidata.org/entity/Q10860242,bouncer,type of security guard
http://www.wikidata.org/entity/Q10862983,etcher,"artist who practices the ""art of etching"""
http://www.wikidata.org/entity/Q10689386,television celebrity chef,television personality in cooking show
http://www.wikidata.org/entity/Q10426561,child star,child celebrity in entertainment or sports
http://www.wikidata.org/entity/Q11305911,sambista,musician that plays samba
http://www.wikidata.org/entity/Q10591707,con artist,"individual who exploits characteristics of the human psyche such as dishonesty, honesty, vanity, etc."
http://www.wikidata.org/entity/Q10830299,literary author,
http://www.wikidata.org/entity/Q10540773,juggler,person practising juggling; one skilled in keeping several objects in motion in the air at the same time by alternately tossing and catching them
http://www.wikidata.org/entity/Q10366254,régulo,former title for a local leader during the Portuguese colonization
http://www.wikidata.org/entity/Q10885387,youling,Chinese opera performer
http://www.wikidata.org/entity/Q11238483,PCDJ,Type of dj
http://www.wikidata.org/entity/Q10774753,performance artist,person who practices performance art (not to be confused with performing arts)
